Gene stable ID	Gene stable ID version	NCBI gene (formerly Entrezgene) ID	Gene name	HGNC symbol
ENSG00000137491	ENSG00000137491.15	11309	SLCO2B1	SLCO2B1
ENSG00000254475	ENSG00000254475.1		OR2AT1P	OR2AT1P
ENSG00000255136	ENSG00000255136.3		AP001972.3	
ENSG00000255460	ENSG00000255460.1		ZDHHC20P3	ZDHHC20P3
ENSG00000261594	ENSG00000261594.4	100507050	TPBGL	TPBGL
ENSG00000137486	ENSG00000137486.17	408	ARRB1	ARRB1
ENSG00000254429	ENSG00000254429.1		AP001972.1	
ENSG00000279117	ENSG00000279117.1		AP001972.5	
ENSG00000254963	ENSG00000254963.1		AP001972.2	
ENSG00000199090	ENSG00000199090.1	442900	MIR326	MIR326
ENSG00000149273	ENSG00000149273.15	6188	RPS3	RPS3
ENSG00000206941	ENSG00000206941.1	6079	SNORD15A	SNORD15A
ENSG00000207445	ENSG00000207445.1	114599	SNORD15B	SNORD15B
ENSG00000149243	ENSG00000149243.15	283212	KLHL35	KLHL35
ENSG00000158555	ENSG00000158555.15	81544	GDPD5	GDPD5
ENSG00000254460	ENSG00000254460.1		AP002815.1	
ENSG00000149257	ENSG00000149257.16	871	SERPINH1	SERPINH1
ENSG00000255326	ENSG00000255326.1	105369391	AP001922.5	
ENSG00000171533	ENSG00000171533.11	4135	MAP6	MAP6
ENSG00000255434	ENSG00000255434.1		AP001922.6	
ENSG00000254630	ENSG00000254630.1		AP001922.2	
ENSG00000255280	ENSG00000255280.1		AP001922.4	
ENSG00000166391	ENSG00000166391.15	80168	MOGAT2	MOGAT2
ENSG00000263993	ENSG00000263993.2		RN7SL786P	RN7SL786P
ENSG00000247867	ENSG00000247867.2	283214	AP001922.1	
ENSG00000062282	ENSG00000062282.15	84649	DGAT2	DGAT2
ENSG00000254826	ENSG00000254826.1		AP001922.3	
ENSG00000254814	ENSG00000254814.1		AP003031.3	
ENSG00000255507	ENSG00000255507.6	100506113	UVRAG-DT	UVRAG-DT
ENSG00000198382	ENSG00000198382.9	7405	UVRAG	UVRAG
ENSG00000200256	ENSG00000200256.1		AP003031.2	
ENSG00000199362	ENSG00000199362.1		AP003031.1	
ENSG00000255255	ENSG00000255255.1		PPP1R1AP1	PPP1R1AP1
ENSG00000255081	ENSG00000255081.1		AP003168.2	
ENSG00000223013	ENSG00000223013.1		RNA5SP344	RNA5SP344
ENSG00000254915	ENSG00000254915.1		AP003168.1	
ENSG00000255421	ENSG00000255421.1		AP002340.1	
ENSG00000085741	ENSG00000085741.13	7481	WNT11	WNT11
ENSG00000254933	ENSG00000254933.1		AP000785.1	
ENSG00000255362	ENSG00000255362.1		LINC02761	LINC02761
ENSG00000137492	ENSG00000137492.8	5612	THAP12	THAP12
ENSG00000179240	ENSG00000179240.12	100506127	GVQW3	GVQW3
ENSG00000201756	ENSG00000201756.1		Y_RNA	
ENSG00000255135	ENSG00000255135.4		AP002360.1	
ENSG00000158636	ENSG00000158636.16	56946	EMSY	EMSY
ENSG00000254755	ENSG00000254755.1		AP001189.2	
ENSG00000255363	ENSG00000255363.3		LINC02757	LINC02757
ENSG00000255479	ENSG00000255479.1		AP001189.5	
ENSG00000254810	ENSG00000254810.1		AP001189.3	
ENSG00000236304	ENSG00000236304.1	107984360	AP001189.1	
ENSG00000137507	ENSG00000137507.11	2615	LRRC32	LRRC32
ENSG00000254975	ENSG00000254975.1		AP001189.4	
ENSG00000204529	ENSG00000204529.4		GUCY2EP	GUCY2EP
ENSG00000254632	ENSG00000254632.2		AP003119.1	
ENSG00000182704	ENSG00000182704.8	25987	TSKU	TSKU
ENSG00000255100	ENSG00000255100.1	101928837	AP003119.2	
ENSG00000261578	ENSG00000261578.1		AP003119.3	
ENSG00000078124	ENSG00000078124.12	55331	ACER3	ACER3
ENSG00000254988	ENSG00000254988.1		AP002498.1	
ENSG00000198488	ENSG00000198488.10	192134	B3GNT6	B3GNT6
ENSG00000149260	ENSG00000149260.18	726	CAPN5	CAPN5
ENSG00000254550	ENSG00000254550.1	4975	OMP	OMP
ENSG00000137474	ENSG00000137474.22	4647	MYO7A	MYO7A
ENSG00000178795	ENSG00000178795.9	220032	GDPD4	GDPD4
ENSG00000224829	ENSG00000224829.3		TOMM20P1	TOMM20P1
ENSG00000149269	ENSG00000149269.10	5058	PAK1	PAK1
ENSG00000268635	ENSG00000268635.2		AP003680.1	
ENSG00000074201	ENSG00000074201.9	1207	CLNS1A	CLNS1A
ENSG00000238880	ENSG00000238880.1		RNU7-59P	RNU7-59P
ENSG00000178301	ENSG00000178301.4	282679	AQP11	AQP11
ENSG00000048649	ENSG00000048649.13	51773	RSF1	RSF1
ENSG00000206816	ENSG00000206816.1		Y_RNA	
ENSG00000254985	ENSG00000254985.1		RSF1-IT2	RSF1-IT2
ENSG00000227376	ENSG00000227376.1		FTH1P16	FTH1P16
ENSG00000255409	ENSG00000255409.1		RSF1-IT1	RSF1-IT1
ENSG00000219529	ENSG00000219529.2		AP000580.1	
ENSG00000087884	ENSG00000087884.14	28971	AAMDC	AAMDC
ENSG00000254459	ENSG00000254459.1		AP002812.2	
ENSG00000254691	ENSG00000254691.1		AP002812.3	
ENSG00000255449	ENSG00000255449.1		AP002812.5	
ENSG00000241782	ENSG00000241782.1		AP002812.1	
ENSG00000149262	ENSG00000149262.17	92105	INTS4	INTS4
ENSG00000255115	ENSG00000255115.2		AP002812.4	
ENSG00000254829	ENSG00000254829.1		AP003032.2	
ENSG00000151364	ENSG00000151364.17	65987	KCTD14	KCTD14
ENSG00000259112	ENSG00000259112.2	100532726	NDUFC2-KCTD14	NDUFC2-KCTD14
ENSG00000254675	ENSG00000254675.1		AP003032.1	
ENSG00000151365	ENSG00000151365.2	7069	THRSP	THRSP
ENSG00000151366	ENSG00000151366.13	4718	NDUFC2	NDUFC2
ENSG00000159063	ENSG00000159063.13	79053	ALG8	ALG8
ENSG00000252494	ENSG00000252494.1		RNU6-126P	RNU6-126P
ENSG00000246174	ENSG00000246174.9	100289388	KCTD21-AS1	KCTD21-AS1
ENSG00000188997	ENSG00000188997.8	283219	KCTD21	KCTD21
ENSG00000118369	ENSG00000118369.13	57558	USP35	USP35
ENSG00000033327	ENSG00000033327.13	9846	GAB2	GAB2
ENSG00000288538	ENSG00000288538.1		AP002985.1	
ENSG00000254420	ENSG00000254420.1		AP003086.1	
ENSG00000288393	ENSG00000288393.1		AP003086.3	
ENSG00000254649	ENSG00000254649.1		AP003086.2	
ENSG00000251323	ENSG00000251323.3	101928865	LINC02728	LINC02728
ENSG00000137513	ENSG00000137513.10	79731	NARS2	NARS2
ENSG00000255084	ENSG00000255084.1	101928896	AP003110.1	
ENSG00000252033	ENSG00000252033.1		RNU6-311P	RNU6-311P
ENSG00000254697	ENSG00000254697.1		COPS8P3	COPS8P3
ENSG00000149256	ENSG00000149256.16	26011	TENM4	TENM4
ENSG00000254563	ENSG00000254563.1		AP002768.1	
ENSG00000255345	ENSG00000255345.1		AP002957.1	
ENSG00000254885	ENSG00000254885.1		AP001547.1	
ENSG00000211997	ENSG00000211997.1	100126333	MIR708	MIR708
ENSG00000266570	ENSG00000266570.1	100847000	MIR5579	MIR5579
ENSG00000255209	ENSG00000255209.1		AP001978.1	
ENSG00000279295	ENSG00000279295.1		AP001541.1	
ENSG00000254471	ENSG00000254471.1		AP001284.1	
ENSG00000254434	ENSG00000254434.1		AP006295.1	
ENSG00000200146	ENSG00000200146.1		RNU6-544P	RNU6-544P
ENSG00000255014	ENSG00000255014.1		ARL6IP1P3	ARL6IP1P3
ENSG00000255178	ENSG00000255178.1	101928944	LINC02720	LINC02720
ENSG00000254437	ENSG00000254437.1		AP003398.1	
ENSG00000285568	ENSG00000285568.1		AP003398.2	
ENSG00000287912	ENSG00000287912.1		AP003464.1	
ENSG00000254747	ENSG00000254747.1		MTND4LP18	MTND4LP18
ENSG00000255316	ENSG00000255316.1		MTND6P25	MTND6P25
ENSG00000245832	ENSG00000245832.7	101928989	MIR4300HG	MIR4300HG
ENSG00000270701	ENSG00000270701.1		AP002802.2	
ENSG00000264110	ENSG00000264110.1	100422823	MIR4300	MIR4300
ENSG00000254511	ENSG00000254511.1		AP002802.1	
ENSG00000255246	ENSG00000255246.2		AP000793.1	
ENSG00000227097	ENSG00000227097.5		RPS28P7	RPS28P7
ENSG00000182103	ENSG00000182103.5	220382	FAM181B	FAM181B
ENSG00000255382	ENSG00000255382.2	105369413	LINC02734	LINC02734
ENSG00000255063	ENSG00000255063.1		AP001646.2	
ENSG00000137509	ENSG00000137509.11	5547	PRCP	PRCP
ENSG00000254441	ENSG00000254441.1		AP001646.1	
ENSG00000165490	ENSG00000165490.13	220042	DDIAS	DDIAS
ENSG00000242279	ENSG00000242279.1		AP000893.1	
ENSG00000254698	ENSG00000254698.1		AP000893.2	
ENSG00000137502	ENSG00000137502.10	27314	RAB30	RAB30
ENSG00000254522	ENSG00000254522.1		AP001767.1	
ENSG00000207221	ENSG00000207221.1	100379250	SNORA70E	SNORA70E
ENSG00000246067	ENSG00000246067.8		RAB30-DT	RAB30-DT
ENSG00000255503	ENSG00000255503.1		AP001767.3	
ENSG00000279900	ENSG00000279900.1		AP001767.4	
ENSG00000255010	ENSG00000255010.1		AP001767.2	
ENSG00000254965	ENSG00000254965.1		C1DP5	C1DP5
ENSG00000255051	ENSG00000255051.1		BCAS2P1	BCAS2P1
ENSG00000165494	ENSG00000165494.11	51585	PCF11	PCF11
ENSG00000254676	ENSG00000254676.1		AP000873.4	
ENSG00000247137	ENSG00000247137.9		AP000873.2	
ENSG00000269939	ENSG00000269939.1		PCF11-AS1	PCF11-AS1
ENSG00000137494	ENSG00000137494.14	338699	ANKRD42	ANKRD42
ENSG00000255541	ENSG00000255541.1		AP000873.5	
ENSG00000254551	ENSG00000254551.1		AP000873.3	
ENSG00000241020	ENSG00000241020.1		AP000873.1	
ENSG00000137500	ENSG00000137500.9	60492	CCDC90B	CCDC90B
ENSG00000255234	ENSG00000255234.6		AP000446.1	
ENSG00000255003	ENSG00000255003.1		CYCSP28	CYCSP28
ENSG00000274004	ENSG00000274004.1		AP000446.2	
ENSG00000150672	ENSG00000150672.17	1740	DLG2	DLG2
ENSG00000255311	ENSG00000255311.5		DLG2-AS2	DLG2-AS2
ENSG00000254629	ENSG00000254629.1		AP002370.1	
ENSG00000250257	ENSG00000250257.1		LDHAL6DP	LDHAL6DP
ENSG00000254713	ENSG00000254713.2		HNRNPA1P72	HNRNPA1P72
ENSG00000240174	ENSG00000240174.1		AP000852.1	
ENSG00000254787	ENSG00000254787.1		AP001825.1	
ENSG00000274006	ENSG00000274006.1		AP001825.2	
ENSG00000276179	ENSG00000276179.1		AP001825.3	
ENSG00000255555	ENSG00000255555.1		AP000857.2	
ENSG00000255396	ENSG00000255396.2		AP000857.1	
ENSG00000213305	ENSG00000213305.3		HNRNPCP6	HNRNPCP6
ENSG00000254684	ENSG00000254684.1		AP002803.1	
ENSG00000254897	ENSG00000254897.1		AP003035.1	
ENSG00000206583	ENSG00000206583.1		RNU6-1292P	RNU6-1292P
ENSG00000171204	ENSG00000171204.13	55863	TMEM126B	TMEM126B
ENSG00000171202	ENSG00000171202.7	84233	TMEM126A	TMEM126A
ENSG00000137504	ENSG00000137504.13	58487	CREBZF	CREBZF
ENSG00000179071	ENSG00000179071.5	220388	CCDC89	CCDC89
ENSG00000137501	ENSG00000137501.17	54843	SYTL2	SYTL2
ENSG00000279742	ENSG00000279742.1		AP000974.1	
ENSG00000150676	ENSG00000150676.13	220047	CCDC83	CCDC83
ENSG00000255005	ENSG00000255005.1		AP003128.1	
ENSG00000254479	ENSG00000254479.1		SLC25A1P1	SLC25A1P1
ENSG00000073921	ENSG00000073921.18	8301	PICALM	PICALM
ENSG00000200877	ENSG00000200877.1		RNU6-560P	RNU6-560P
ENSG00000254699	ENSG00000254699.1		LINC02695	LINC02695
ENSG00000254502	ENSG00000254502.1		AP003097.1	
ENSG00000276669	ENSG00000276669.1		Metazoa_SRP	
ENSG00000074266	ENSG00000074266.21	8726	EED	EED
ENSG00000283744	ENSG00000283744.1	102465452	MIR6755	MIR6755
ENSG00000254783	ENSG00000254783.1		AP003084.1	
ENSG00000255222	ENSG00000255222.1		SETP17	SETP17
ENSG00000149196	ENSG00000149196.16	51501	HIKESHI	HIKESHI
ENSG00000239856	ENSG00000239856.3		RN7SL225P	RN7SL225P
ENSG00000149201	ENSG00000149201.10	60494	CCDC81	CCDC81
ENSG00000254733	ENSG00000254733.1		AP001831.1	
ENSG00000254727	ENSG00000254727.1		PTP4A1P6	PTP4A1P6
ENSG00000278989	ENSG00000278989.1		AP001148.1	
ENSG00000151376	ENSG00000151376.16	10873	ME3	ME3
ENSG00000254731	ENSG00000254731.1		AP003059.1	
ENSG00000255250	ENSG00000255250.2		AP003059.2	
ENSG00000150687	ENSG00000150687.12	11098	PRSS23	PRSS23
ENSG00000271318	ENSG00000271318.1		MOB4P2	MOB4P2
ENSG00000197882	ENSG00000197882.3		OR7E13P	OR7E13P
ENSG00000269895	ENSG00000269895.1		AP000654.1	
ENSG00000255203	ENSG00000255203.1		OR7E2P	OR7E2P
ENSG00000255471	ENSG00000255471.1		AP001528.1	
ENSG00000280339	ENSG00000280339.1		AP001528.2	
ENSG00000174804	ENSG00000174804.4	8322	FZD4	FZD4
ENSG00000246523	ENSG00000246523.8	100506368	FZD4-DT	FZD4-DT
ENSG00000254748	ENSG00000254748.1		HNRNPCP8	HNRNPCP8
ENSG00000166575	ENSG00000166575.17	65084	TMEM135	TMEM135
ENSG00000254843	ENSG00000254843.1		XIAPP2	XIAPP2
ENSG00000279836	ENSG00000279836.1		AP002967.1	
ENSG00000213287	ENSG00000213287.3		AP001102.1	
ENSG00000270510	ENSG00000270510.1		AP000811.1	
ENSG00000254582	ENSG00000254582.1		PSMA2P1	PSMA2P1
ENSG00000255391	ENSG00000255391.1		AP003497.1	
ENSG00000279701	ENSG00000279701.1		AP003497.2	
ENSG00000278929	ENSG00000278929.1		AP001784.1	
ENSG00000223015	ENSG00000223015.1		RNU6-1135P	RNU6-1135P
ENSG00000283412	ENSG00000283412.1		U6	
ENSG00000255183	ENSG00000255183.1	105369423	LINC02711	LINC02711
ENSG00000279341	ENSG00000279341.1		AP000756.1	
ENSG00000254650	ENSG00000254650.1		MTCYBP41	MTCYBP41
ENSG00000255022	ENSG00000255022.1		AP000676.2	
ENSG00000279793	ENSG00000279793.1		AP000676.3	
ENSG00000285835	ENSG00000285835.1		AP000676.5	
ENSG00000280307	ENSG00000280307.1		AP000676.4	
ENSG00000254794	ENSG00000254794.1		AP000676.1	
ENSG00000255516	ENSG00000255516.1		AP005436.3	
ENSG00000255102	ENSG00000255102.1		AP005436.1	
ENSG00000255241	ENSG00000255241.1		AP005436.2	
ENSG00000206690	ENSG00000206690.1		Y_RNA	
ENSG00000123892	ENSG00000123892.12	23682	RAB38	RAB38
ENSG00000279733	ENSG00000279733.1		AP001642.1	
ENSG00000266581	ENSG00000266581.1	100423040	MIR3166	MIR3166
ENSG00000109861	ENSG00000109861.16	1075	CTSC	CTSC
ENSG00000249489	ENSG00000249489.1		GAPDHP70	GAPDHP70
ENSG00000288018	ENSG00000288018.1		AP003120.1	
ENSG00000168959	ENSG00000168959.14	2915	GRM5	GRM5
ENSG00000255082	ENSG00000255082.1	100873989	GRM5-AS1	GRM5-AS1
ENSG00000207113	ENSG00000207113.1		RNU6-16P	RNU6-16P
ENSG00000077498	ENSG00000077498.9	7299	TYR	TYR
ENSG00000197692	ENSG00000197692.5		CBX3P7	CBX3P7
ENSG00000279297	ENSG00000279297.1		AP000720.1	
ENSG00000279603	ENSG00000279603.1		AP000720.2	
ENSG00000086991	ENSG00000086991.13	50507	NOX4	NOX4
ENSG00000255295	ENSG00000255295.1		H3P34	H3P34
ENSG00000279248	ENSG00000279248.1		AP003400.4	
ENSG00000279697	ENSG00000279697.1		AP003400.5	
ENSG00000255429	ENSG00000255429.1		AP003400.1	
ENSG00000279045	ENSG00000279045.1		AP003400.2	
ENSG00000279056	ENSG00000279056.1		AP003400.3	
ENSG00000280201	ENSG00000280201.1		AP003400.6	
ENSG00000134612	ENSG00000134612.12	219595	FOLH1B	FOLH1B
ENSG00000255385	ENSG00000255385.1		UBTFL10	UBTFL10
ENSG00000279163	ENSG00000279163.1		AP003122.6	
ENSG00000214414	ENSG00000214414.9	390231	TRIM77	TRIM77
ENSG00000255486	ENSG00000255486.1		AP003122.4	
ENSG00000255540	ENSG00000255540.1		AP003122.5	
ENSG00000234376	ENSG00000234376.4		UBTFL2	UBTFL2
ENSG00000254971	ENSG00000254971.1		AP003122.2	
ENSG00000255170	ENSG00000255170.2		AP003122.3	
ENSG00000204456	ENSG00000204456.4		AP003122.1	
ENSG00000254751	ENSG00000254751.3		TRIM64DP	TRIM64DP
ENSG00000255162	ENSG00000255162.1		AP004833.2	
ENSG00000255285	ENSG00000255285.1		AP004833.3	
ENSG00000168930	ENSG00000168930.13	57093	TRIM49	TRIM49
ENSG00000250946	ENSG00000250946.2		AP004833.1	
ENSG00000166013	ENSG00000166013.11		TRIM53BP	TRIM53BP
ENSG00000204455	ENSG00000204455.7		TRIM51BP	TRIM51BP
ENSG00000254558	ENSG00000254558.1		AP005435.1	
ENSG00000189253	ENSG00000189253.7	642446	TRIM64B	TRIM64B
ENSG00000255235	ENSG00000255235.1		AP005435.4	
ENSG00000254617	ENSG00000254617.1		AP005435.2	
ENSG00000254785	ENSG00000254785.1		AP005435.3	
ENSG00000255055	ENSG00000255055.1		MTND1P35	MTND1P35
ENSG00000223417	ENSG00000223417.8	399939	TRIM49D1	TRIM49D1
ENSG00000233802	ENSG00000233802.8	729384	TRIM49D2	TRIM49D2
ENSG00000254818	ENSG00000254818.1		AP004607.3	
ENSG00000278837	ENSG00000278837.1		AP004607.9	
ENSG00000255360	ENSG00000255360.1		AP004607.8	
ENSG00000254655	ENSG00000254655.1		AP004607.1	
ENSG00000204450	ENSG00000204450.8	120146	TRIM64	TRIM64
ENSG00000255305	ENSG00000255305.1		AP004607.7	
ENSG00000237706	ENSG00000237706.4		TRIM51EP	TRIM51EP
ENSG00000225581	ENSG00000225581.3		TRIM53AP	TRIM53AP
ENSG00000255184	ENSG00000255184.1		AP004607.6	
ENSG00000204449	ENSG00000204449.3	642612	TRIM49C	TRIM49C
ENSG00000254803	ENSG00000254803.1		AP004607.2	
ENSG00000254916	ENSG00000254916.1		AP004607.4	
ENSG00000223709	ENSG00000223709.6		TRIM64EP	TRIM64EP
ENSG00000255011	ENSG00000255011.1		AP004607.5	
ENSG00000254888	ENSG00000254888.2		AP000827.1	
ENSG00000255009	ENSG00000255009.4	642623	UBTFL1	UBTFL1
ENSG00000254436	ENSG00000254436.1		AP000648.2	
ENSG00000286665	ENSG00000286665.1		AP000648.9	
ENSG00000207299	ENSG00000207299.1		AP000648.1	
ENSG00000279299	ENSG00000279299.1		AP000648.3	
ENSG00000077616	ENSG00000077616.11	10003	NAALAD2	NAALAD2
ENSG00000280385	ENSG00000280385.1		AP000648.4	
ENSG00000110172	ENSG00000110172.12	26973	CHORDC1	CHORDC1
ENSG00000280367	ENSG00000280367.1		AP002364.1	
ENSG00000261645	ENSG00000261645.7	101929222	DISC1FP1	DISC1FP1
ENSG00000214391	ENSG00000214391.3		TUBAP2	TUBAP2
ENSG00000266703	ENSG00000266703.1	100616186	MIR4490	MIR4490
ENSG00000280430	ENSG00000280430.1		AP002782.1	
ENSG00000221586	ENSG00000221586.1	100302228	MIR1261	MIR1261
ENSG00000280085	ENSG00000280085.1		AP001002.3	
ENSG00000279209	ENSG00000279209.1		AP001002.1	
ENSG00000279438	ENSG00000279438.1		AP001002.2	
ENSG00000254677	ENSG00000254677.1		OSBPL9P2	OSBPL9P2
ENSG00000255070	ENSG00000255070.1		OSBPL9P3	OSBPL9P3
ENSG00000255187	ENSG00000255187.2		LINC02748	LINC02748
ENSG00000280124	ENSG00000280124.1		AP003485.2	
ENSG00000278980	ENSG00000278980.1		AP003485.1	
ENSG00000280093	ENSG00000280093.1		AP002791.1	
ENSG00000255332	ENSG00000255332.8		LINC02756	LINC02756
ENSG00000254961	ENSG00000254961.1		TUBB4BP4	TUBB4BP4
ENSG00000278859	ENSG00000278859.1		AP002799.1	
ENSG00000242248	ENSG00000242248.2		RPL7AP57	RPL7AP57
ENSG00000235547	ENSG00000235547.3		NDUFB11P1	NDUFB11P1
ENSG00000165323	ENSG00000165323.15	120114	FAT3	FAT3
ENSG00000249255	ENSG00000249255.1		PGAM1P9	PGAM1P9
ENSG00000254705	ENSG00000254705.1		AP000722.1	
ENSG00000244244	ENSG00000244244.2		RPS3AP42	RPS3AP42
ENSG00000255506	ENSG00000255506.1		AP003718.1	
ENSG00000282916	ENSG00000282916.2	105369431	LINC02746	LINC02746
ENSG00000255127	ENSG00000255127.3		AP003171.2	
ENSG00000255287	ENSG00000255287.1		SNRPGP16	SNRPGP16
ENSG00000254874	ENSG00000254874.1		AP003171.1	
ENSG00000134640	ENSG00000134640.3	4544	MTNR1B	MTNR1B
ENSG00000242807	ENSG00000242807.1		RPL26P31	RPL26P31
ENSG00000278892	ENSG00000278892.1		AP002371.1	
ENSG00000279304	ENSG00000279304.1		AP003072.4	
ENSG00000180773	ENSG00000180773.15	120103	SLC36A4	SLC36A4
ENSG00000255445	ENSG00000255445.1		AP003072.2	
ENSG00000280379	ENSG00000280379.1		AP003072.5	
ENSG00000279269	ENSG00000279269.1		AP003072.3	
ENSG00000233737	ENSG00000233737.3		AP003072.1	
ENSG00000255233	ENSG00000255233.1		AP003969.1	
ENSG00000279684	ENSG00000279684.1		AP003969.2	
ENSG00000165325	ENSG00000165325.13	159989	DEUP1	DEUP1
ENSG00000166002	ENSG00000166002.7	56935	SMCO4	SMCO4
ENSG00000234106	ENSG00000234106.3		SRP14P2	SRP14P2
ENSG00000240202	ENSG00000240202.3		RN7SL223P	RN7SL223P
ENSG00000279454	ENSG00000279454.1		AP003499.5	
ENSG00000278953	ENSG00000278953.1		AP003499.4	
ENSG00000255515	ENSG00000255515.1		AP003499.1	
ENSG00000166004	ENSG00000166004.15	85459	CEP295	CEP295
ENSG00000199875	ENSG00000199875.1		Y_RNA	
ENSG00000254911	ENSG00000254911.3	619383	SCARNA9	SCARNA9
ENSG00000254911	ENSG00000254911.3	100158262	SCARNA9	SCARNA9
ENSG00000275146	ENSG00000275146.1		AP003499.3	
ENSG00000273885	ENSG00000273885.1		AP003499.2	
ENSG00000279696	ENSG00000279696.1		AP001273.1	
ENSG00000166012	ENSG00000166012.17	79101	TAF1D	TAF1D
ENSG00000207112	ENSG00000207112.1	684959	SNORA25	SNORA25
ENSG00000206799	ENSG00000206799.1	692063	SNORA32	SNORA32
ENSG00000202314	ENSG00000202314.1	692075	SNORD6	SNORD6
ENSG00000206834	ENSG00000206834.1	677792	SNORA1	SNORA1
ENSG00000207304	ENSG00000207304.1	654320	SNORA8	SNORA8
ENSG00000239195	ENSG00000239195.1	692072	SNORD5	SNORD5
ENSG00000207145	ENSG00000207145.1	677805	SNORA18	SNORA18
ENSG00000284458	ENSG00000284458.1	100302240	MIR1304	MIR1304
ENSG00000210825	ENSG00000210825.1		SNORA40	SNORA40
ENSG00000182919	ENSG00000182919.15	28970	C11orf54	C11orf54
ENSG00000284057	ENSG00000284057.1		AP001273.2	
ENSG00000042429	ENSG00000042429.12	9440	MED17	MED17
ENSG00000214376	ENSG00000214376.6	387804	VSTM5	VSTM5
ENSG00000206911	ENSG00000206911.1		Y_RNA	
ENSG00000255995	ENSG00000255995.1		AP002795.1	
ENSG00000256752	ENSG00000256752.1		HPRT1P3	HPRT1P3
ENSG00000181333	ENSG00000181333.12	341208	HEPHL1	HEPHL1
ENSG00000227593	ENSG00000227593.2		PHBP16	PHBP16
ENSG00000110218	ENSG00000110218.9	24145	PANX1	PANX1
ENSG00000250519	ENSG00000250519.7		AP002784.1	
ENSG00000256745	ENSG00000256745.1		AP002784.2	
ENSG00000183560	ENSG00000183560.9	390243	IZUMO1R	IZUMO1R
ENSG00000123901	ENSG00000123901.9	10888	GPR83	GPR83
ENSG00000020922	ENSG00000020922.13	4361	MRE11	MRE11
ENSG00000221230	ENSG00000221230.1	100302275	MIR548L	MIR548L
ENSG00000255893	ENSG00000255893.1		AP000786.1	
ENSG00000168876	ENSG00000168876.9	54851	ANKRD49	ANKRD49
ENSG00000257057	ENSG00000257057.3	643037	C11orf97	C11orf97
ENSG00000134627	ENSG00000134627.12	143689	PIWIL4	PIWIL4
ENSG00000196371	ENSG00000196371.3	2526	FUT4	FUT4
ENSG00000255929	ENSG00000255929.5	105369438	AP000943.2	
ENSG00000280167	ENSG00000280167.1		AP000943.3	
ENSG00000233536	ENSG00000233536.2		AP000943.1	
ENSG00000255666	ENSG00000255666.7		LINC02700	LINC02700
ENSG00000166025	ENSG00000166025.18	154810	AMOTL1	AMOTL1
ENSG00000256469	ENSG00000256469.1		AP002383.2	
ENSG00000213368	ENSG00000213368.3		ST13P11	ST13P11
ENSG00000150316	ENSG00000150316.12	51503	CWC15	CWC15
ENSG00000186280	ENSG00000186280.7	55693	KDM4D	KDM4D
ENSG00000255653	ENSG00000255653.1		AP002383.1	
ENSG00000235268	ENSG00000235268.2	390245	KDM4E	KDM4E
ENSG00000274486	ENSG00000274486.1		AP002383.5	
ENSG00000256779	ENSG00000256779.2		AP002383.3	
ENSG00000257012	ENSG00000257012.1		AP002383.4	
ENSG00000255855	ENSG00000255855.2		KDM4F	KDM4F
ENSG00000277984	ENSG00000277984.1		AP001264.1	
ENSG00000263465	ENSG00000263465.4	10929	SRSF8	SRSF8
ENSG00000149218	ENSG00000149218.5	23052	ENDOD1	ENDOD1
ENSG00000270689	ENSG00000270689.1		BUD13P1	BUD13P1
ENSG00000270578	ENSG00000270578.1		AP000787.2	
ENSG00000245552	ENSG00000245552.7	101929295	AP000787.1	
ENSG00000149212	ENSG00000149212.12	143686	SESN3	SESN3
ENSG00000282834	ENSG00000282834.1		AP000787.3	
ENSG00000250390	ENSG00000250390.2		AP001790.1	
ENSG00000285842	ENSG00000285842.1		AP000820.2	
ENSG00000255605	ENSG00000255605.1		AP000820.1	
ENSG00000273600	ENSG00000273600.1		AP001877.1	
ENSG00000077458	ENSG00000077458.13	143684	FAM76B	FAM76B
ENSG00000166037	ENSG00000166037.11	9702	CEP57	CEP57
ENSG00000087053	ENSG00000087053.20	8898	MTMR2	MTMR2
ENSG00000222578	ENSG00000222578.1		RNA5SP345	RNA5SP345
ENSG00000242993	ENSG00000242993.1		AP000870.1	
ENSG00000184384	ENSG00000184384.14	84441	MAML2	MAML2
ENSG00000285921	ENSG00000285921.1		AP000779.1	
ENSG00000266192	ENSG00000266192.3	100422991	MIR1260B	MIR1260B
ENSG00000149231	ENSG00000149231.15	79780	CCDC82	CCDC82
ENSG00000183340	ENSG00000183340.7	8690	JRKL	JRKL
ENSG00000255679	ENSG00000255679.1		JRKL-AS1	JRKL-AS1
ENSG00000200411	ENSG00000200411.1		RNA5SP346	RNA5SP346
ENSG00000256684	ENSG00000256684.1	105369443	LINC02737	LINC02737
ENSG00000254587	ENSG00000254587.2		AP003066.1	
ENSG00000255376	ENSG00000255376.1		AP003066.2	
ENSG00000255205	ENSG00000255205.1		MED28P5	MED28P5
ENSG00000270753	ENSG00000270753.1		AP001836.1	
ENSG00000255039	ENSG00000255039.1		LINC02553	LINC02553
ENSG00000199315	ENSG00000199315.1		RNA5SP347	RNA5SP347
ENSG00000255502	ENSG00000255502.6	105369454	LINC02713	LINC02713
ENSG00000254555	ENSG00000254555.1		AP003730.1	
ENSG00000255380	ENSG00000255380.1		AP001317.1	
ENSG00000254939	ENSG00000254939.1		AP003038.1	
ENSG00000254599	ENSG00000254599.1		AP003715.1	
